图片,标题,简介,类型
https://img1.doubanio.com/mpic/s29533317.jpg,詹森艺术史（插图第7版）,艺术史大家H.W.詹森撰写的艺术通史标杆之作，完整梳理三万年西方艺术发展历程。,非虚构类
https://img3.doubanio.com/mpic/s29581042.jpg,战败者,作者罗伯特·格瓦特通过多个语种的丰富史料，全面揭露第一次世界大战给欧洲以及全世界带来的恶果。,非虚构类
https://img3.doubanio.com/mpic/s29607602.jpg,天下为学说裂,以近代中国的知识群体为对象，再探“排满”、辛亥革命、教科书、五四、清末新政等历史的“另一面相”，解说清末民初中国的变之深与变之痛。,非虚构类
https://img3.doubanio.com/mpic/s29560633.jpg,漆涂师物语,日本漆艺师赤木明登回溯自己从艺历程的自传性散文，记录了作者从稳定工作场所辞职进入艺术领域的心境变化，在技艺的精进中探索了个人的自由。,非虚构类
https://img3.doubanio.com/mpic/s29562233.jpg,诸众的语法,意大利后福特主义思想家保罗·维尔诺著作，对斯宾诺莎所提出的“诸众”这一概念做了精彩的分析，为现代人重新审视世界提供了有力的理论工具。,非虚构类
https://img3.doubanio.com/mpic/s29578371.jpg,序曲 或一位诗人心灵的成长,英国浪漫主义诗人、“湖畔派”的代表人物华兹华斯的自传体诗作，标志着一种全新的诗歌风格的诞生，使其成为浪漫主义诗歌的代表作。,非虚构类
https://img3.doubanio.com/mpic/s29589664.jpg,欧亚皇家狩猎史,美国著名蒙古帝国史学家托马斯·爱尔森的经典名作，从与众不同的角度解读欧亚大陆皇家狩猎史。,非虚构类
https://img3.doubanio.com/mpic/s29530671.jpg,这就是奥斯维辛,奥斯维辛集中营幸存者的证词合集，由身为化学家的意大利著名作家普里莫·莱维及其奥斯维辛狱友、外科医生德·贝内代蒂共同整理撰写。,非虚构类
https://img3.doubanio.com/mpic/s29536102.jpg,未尽之路：世界电影地图亚洲和大洋洲卷,一本关于电影文化的旅行指南，以城市为线索，从香港到日本，从印度到伊朗，带领读者品味电影人生。,非虚构类
https://img3.doubanio.com/mpic/s29507081.jpg,三岛由纪夫追记,“暗黑美学大师”涩泽龙彦对挚友三岛由纪夫的追忆之作，展现了两人倾心相交十余年的点滴，从几个不同角度解读了三岛时代。,非虚构类
